Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
2890,20060807,20240422,306,51.5957,10.463,"erberg,Bad-Bartolfelde",Niedersachsen
2900,20071017,20240422,208,49.709,8.6908,ertal/Odenwald-Reichenbach,Hessen
2907,19990201,20240422,7,54.7903,8.9514,,Schleswig-Holstein
2925,19911103,20240422,356,51.3932,10.3123,efelde,Thüringen
2928,19970205,20240422,138,51.3151,12.4462,zig-Holzhausen,Sachsen
2932,19911031,20240422,131,51.4347,12.2396,zig/Halle,Sachsen
2947,20060830,20240422,286,51.1333,8.0348,estadt-Theten,Nordrhein-Westfalen
2951,20030304,20240422,20,53.1007,11.4864,en/Elbe,Brandenburg
2953,20070221,20240422,854,47.8597,8.2308,kirch-Ruhbühl,Baden-Württemberg
2958,20040812,20240422,204,51.0265,14.9357,itz,Sachsen
2968,20081119,20240422,43,50.9894,6.9777,-Stammheim,Nordrhein-Westfalen
2985,19911101,20240422,321,50.9383,14.2094,tenhain-Mittelndorf,Sachsen
2988,20020626,20240422,162,51.4882,9.2493,enau-Haueda,Hessen
2992,20030811,20240422,495,50.5275,11.6605,tendorf,Thüringen
2997,20030507,20240422,50,51.9861,14.3044,erose,Brandenburg
2999,20040518,20240422,55,52.1211,7.8699,en-Kattenvenne,Nordrhein-Westfalen
3015,19921013,20240422,98,52.2085,14.118,enberg,Brandenburg
3024,20080319,20240421,485,50.094,7.5675,erhahn/Hunsrück,Rheinland-Pfalz
3028,19920805,20240422,157,51.7854,8.8388,"springe, Bad",Nordrhein-Westfalen
3031,20020919,20240422,92,51.6336,8.3945,stadt-Bökenförde,Nordrhein-Westfalen
3032,19951201,20240422,25,55.011,8.4125,auf Sylt,Schleswig-Holstein
3034,20061112,20240422,496,50.4505,11.635,"nstein, Bad",Thüringen
3042,20080422,20240422,230,50.5617,8.2386,berg-Obershausen,Hessen
3080,20021008,20240422,521,50.5131,11.3664,igsstadt-Lauenstein,Bayern
3081,20071026,20240422,65,52.3452,8.6477,lkamp-Isenstedt,Nordrhein-Westfalen
3083,20040929,20240422,57,51.9267,13.8797,en-Blumenfelde,Brandenburg
3086,19960701,20240422,15,53.8025,10.6989,ck-Blankensee,Schleswig-Holstein
3093,19930922,20240422,16,52.9724,11.1374,ow,Niedersachsen
3094,20060913,20240422,166,51.3122,14.0499,nz-Cunnersdorf,Sachsen
3098,19931222,20240419,387,51.2452,7.6425,nscheid,Nordrhein-Westfalen
3121,20020613,20240422,677,49.9113,12.5276,ing,Bayern
3126,19911101,20240422,79,52.1029,11.5827,eburg,Sachsen-Anhalt
3136,20011113,20240422,102,50.1294,8.8209,heim/Main,Hessen
3146,20040913,20240422,31,53.2141,11.3686,Göhren,Mecklenburg-Vorpommern
